District,Block,Month of Data Collection,Plantation Year,Tree Type,Tree species,Latitude,Longitude,GBH_cm,DBH_cm,Tree Height_foot,North South_Tree Crown Size_Foot,East West_Tree Crown Size_foot,Tree Crown_foot,tree_age_years,height_m,crown_m,_age_informative,true_dbh,pred_dbh,rel_err_pct,in_90,below_sapling_floor,co2_true,co2_pred
Ahmednagar,Parner,March 2024,2020.0,Fruit,Custard apple,18.8732533,74.4254183,20.0,6.369426752,5.0,4.0,4.5,4.25,3.92,1.524,1.2954,1.0,6.369426752,5.428202501423447,-14.777220733106132,True,False,23.21165870931023,16.017524043825336
Ahmednagar,Karjat,March 2024,2017.0,Fruit,Custard apple,18.5314763,75.1891854,29.0,9.23566879,8.0,8.0,7.0,7.5,6.92,2.4384,2.286,1.0,9.23566879,8.680306442849256,-6.013233689714681,True,False,54.96420382739869,47.59865742575577
Ahmednagar,Karjat,March 2024,2008.0,Fruit,Custard apple,18.63885,75.0191417,20.0,6.369426752,5.0,5.0,5.0,5.0,15.92,1.524,1.524,1.0,6.369426752,5.963250984641034,-6.3769595471276395,True,False,23.21165870931023,19.921137602393898
Ahmednagar,Parner,March 2024,2020.0,Fruit,Custard apple,18.8736507,74.4249759,26.0,8.280254777,8.0,6.0,5.0,5.5,3.92,2.4384,1.6764000000000001,1.0,8.280254776999998,7.321500058713036,-11.578806982486675,True,False,42.66333031348004,32.067531698232834
Ahmednagar,Karjat,July 2023,2020.0,Fruit,Custard apple,18.6926869,74.9247283,25.0,7.961783439,9.0,5.0,5.0,5.0,3.25,2.7432000000000003,1.524,1.0,7.961783439,7.202477921750853,-9.536877297236757,True,False,38.95268567407704,30.871054228138103
Ahmednagar,Karjat,March 2024,2019.0,Fruit,Custard apple,18.6338783,75.1061083,19.0,6.050955414,5.0,5.0,6.0,5.5,4.92,1.524,1.6764000000000001,1.0,6.050955414,6.205041395112351,2.5464735825989613,True,False,20.60748253890276,21.845451981468127
Ahmednagar,Karjat,July 2023,2019.0,Fruit,Custard apple,18.632061,75.020697,17.0,5.414012739,5.0,4.0,4.0,4.0,4.25,1.524,1.2192,1.0,5.414012739,5.213497659908825,-3.7036314607603216,True,False,15.920550619963201,14.585894711565949
Ahmednagar,Karjat,March 2024,2016.0,Fruit,Custard apple,18.6385867,75.0194833,19.0,6.050955414,5.0,5.0,5.0,5.0,7.92,1.524,1.524,1.0,6.050955414,5.9105322602494255,-2.3206773830406915,True,False,20.60748253890276,19.51493295257712
Ahmednagar,Karjat,March 2024,2017.0,Fruit,Custard apple,18.5313767,75.1887533,21.0,6.687898089,7.0,7.0,8.0,7.5,6.92,2.1336,2.286,1.0,6.687898089,8.266578805865992,23.60503548136515,True,False,25.99353527108367,42.50003127650057
Ahmednagar,Karjat,March 2024,2017.0,Fruit,Custard apple,18.5313854,75.1884758,18.0,5.732484076,6.0,7.0,6.0,6.5,6.92,1.8288000000000002,1.9812,1.0,5.732484076,7.304870434653448,27.429406480804797,True,False,18.178112970681806,31.89880472962609
